ID_ATECO;CODICE_ATECO;DESCRIZIONE
1537;46.14.01;"Agenti e rappresentanti di macchine, attrezzature ed impianti per l'industria ed il commercio; materiale e apparecchi elettrici ed elettronici per uso non domestico"
1538;46.14.02;Agenti e rappresentanti di macchine per costruzioni edili e stradali
1539;46.14.03;Agenti e rappresentanti di macchine ed attrezzature per ufficio
1540;46.14.04;Agenti e rappresentanti di macchine ed attrezzature per uso agricolo (inclusi i trattori)
1541;46.14.05;Agenti e rappresentanti di navi, aeromobili e altri veicoli (esclusi autoveicoli, motocicli, ciclomotori e biciclette)
1542;46.14.06;Procacciatori d'affari di macchinari, impianti industriali, navi e aeromobili, macchine agricole, macchine per ufficio e computer
1543;46.14.07;Mediatori in macchinari, impianti industriali, navi e aeromobili, macchine agricole, macchine per ufficio e computer
1544;46.15;Intermediari del commercio di mobili, articoli per la casa e ferramenta
1545;46.15.0;Intermediari del commercio di mobili, articoli per la casa e ferramenta
1546;46.15.01;Agenti e rappresentanti di mobili in legno, metallo e materie plastiche
1547;46.15.02;Agenti e rappresentanti di articoli di ferramenta e di bricolage
1548;46.15.03;Agenti e rappresentanti di articoli casalinghi, porcellane, articoli in vetro eccetera
1549;46.15.04;Agenti e rappresentanti di vernici, carte da parati, stucchi  e cornici decorativi
1550;46.15.05;"Agenti e rappresentanti di mobili e oggetti di arredamento per la casa in canna, vimini, giunco, sughero, paglia; scope, spazzole, cesti e simili"
1551;46.15.06;Procacciatori d'affari di mobili, articoli per la casa e ferramenta
1552;46.15.07;Mediatori in mobili, articoli per la casa e ferramenta
1553;46.16;Intermediari del commercio di prodotti tessili, abbigliamento, pellicce, calzature e articoli in pelle
1554;46.16.0;Intermediari del commercio di prodotti tessili, abbigliamento, pellicce, calzature e articoli in pelle
1555;46.16.01;Agenti e rappresentanti di vestiario ed accessori di abbigliamento
1556;46.16.02;Agenti e rappresentanti di pellicce
1557;46.16.03;Agenti e rappresentanti di tessuti per abbigliamento ed arredamento (incluse merceria e passamaneria)
1558;46.16.04;Agenti e rappresentanti di camicie, biancheria e maglieria intima
1559;46.16.05;Agenti e rappresentanti di calzature ed accessori
1560;46.16.06;Agenti e rappresentanti di pelletteria, valige ed articoli da viaggio
1561;46.16.07;Agenti e rappresentanti di articoli tessili per la casa, tappeti, stuoie e materassi
1562;46.16.08;Procacciatori d'affari di prodotti tessili, abbigliamento, pellicce, calzature e articoli in pelle
1563;46.16.09;Mediatori in prodotti tessili, abbigliamento, pellicce, calzature e articoli in pelle
1564;46.17;Intermediari del commercio di prodotti alimentari, bevande e tabacco
1565;46.17.0;Intermediari del commercio di prodotti alimentari, bevande e tabacco
1566;46.17.01;Agenti e rappresentanti di prodotti ortofrutticoli freschi, congelati e surgelati
1567;46.17.02;"Agenti e rappresentanti di carni fresche, congelate, surgelate, conservate e secche; salumi"
1568;46.17.03;Agenti e rappresentanti di latte, burro e formaggi
1569;46.17.04;Agenti e rappresentanti di oli e grassi alimentari: olio d'oliva e di semi, margarina ed altri prodotti similari
1570;46.17.05;Agenti e rappresentanti di bevande e prodotti similari
1571;46.17.06;Agenti e rappresentanti di prodotti ittici freschi, congelati, surgelati e conservati e secchi
1572;46.17.07;"Agenti e rappresentanti di altri prodotti alimentari (incluse le uova e gli alimenti per gli animali domestici); tabacco"
1573;46.17.08;Procacciatori d'affari di prodotti alimentari, bevande e tabacco
1574;46.17.09;Mediatori in prodotti alimentari, bevande e tabacco
1575;46.18;Intermediari del commercio specializzato in altri prodotti
1576;46.18.1;Intermediari del commercio di prodotti di carta, cancelleria, libri
1577;46.18.11;"Agenti e rappresentanti di carta e cartone (esclusi gli imballaggi; articoli di cartoleria e cancelleria)"
1578;46.18.12;Agenti e rappresentanti di libri e altre pubblicazioni (inclusi i relativi abbonamenti)
1579;46.18.13;Procacciatori d'affari di prodotti di carta, cancelleria, libri
1580;46.18.14;Mediatori in prodotti di carta, cancelleria, libri
1581;46.18.2;Intermediari del commercio di prodotti di elettronica
1582;46.18.21;Agenti e rappresentanti di computer, periferiche, attrezzature per le telecomunicazioni, elettronica di consumo audio e video, materiale elettrico per uso domestico
1583;46.18.22;Agenti e rappresentanti di apparecchi elettrodomestici
1584;46.18.23;Procacciatori d'affari di prodotti di elettronica
1585;46.18.24;Mediatori in prodotti di elettronica
1586;46.18.3;Intermediari del commercio di prodotti farmaceutici e di cosmetici
1587;46.18.31;"Agenti e rappresentanti di prodotti farmaceutici; prodotti di erboristeria per uso medico"
1588;46.18.32;Agenti e rappresentanti di prodotti sanitari ed apparecchi medicali, chirurgici e ortopedici
1589;46.18.33;"Agenti e rappresentanti di prodotti di profumeria e di cosmetica (inclusi articoli per parrucchieri); prodotti di erboristeria per uso cosmetico"
1590;46.18.34;Procacciatori d'affari di prodotti farmaceutici e di cosmetici
1591;46.18.35;Mediatori in prodotti farmaceutici e cosmetici
1592;46.18.9;Intermediari del commercio di attrezzature sportive, biciclette e altri prodotti nca
1593;46.18.91;"Agenti e rappresentanti di attrezzature sportive; biciclette"
1594;46.18.92;Agenti e rappresentanti di orologi, oggetti e metalli preziosi
1595;46.18.93;"Agenti e rappresentanti di articoli fotografici, ottici e prodotti simili; strumenti scientifici e per laboratori di analisi"
1596;46.18.94;Agenti e rappresentanti di saponi, detersivi, candele e prodotti simili
1597;46.18.95;Agenti e rappresentanti di giocattoli
1598;46.18.96;Agenti e rappresentanti di chincaglieria e bigiotteria
1599;46.18.97;Agenti e rappresentanti di altri prodotti non alimentari nca (inclusi gli imballaggi e gli articoli antinfortunistici, antincendio e pubblicitari)
1600;46.18.98;Procacciatori d'affari di attrezzature sportive, biciclette e altri prodotti nca
1601;46.18.99;Mediatori in attrezzature sportive, biciclette e altri prodotti nca
1602;46.19;Intermediari del commercio di vari prodotti senza prevalenza di alcuno
1603;46.19.0;Intermediari del commercio di vari prodotti senza prevalenza di alcuno
1604;46.19.01;Agenti e rappresentanti di vari prodotti senza prevalenza di alcuno
1605;46.19.02;Procacciatori d'affari di vari prodotti senza prevalenza di alcuno
1606;46.19.03;Mediatori in vari prodotti senza prevalenza di alcuno
1607;46.19.04;"Gruppi di acquisto; mandatari agli acquisti; buyer"
1608;46.2;COMMERCIO ALL'INGROSSO DI MATERIE PRIME AGRICOLE E DI ANIMALI VIVI
1609;46.21;Commercio all'ingrosso di cereali, tabacco grezzo, sementi e alimenti per il bestiame (mangimi)
1610;46.21.1;Commercio all'ingrosso di cereali e legumi secchi
1611;46.21.10;Commercio all'ingrosso di cereali e legumi secchi
1612;46.21.2;Commercio all'ingrosso di sementi e alimenti per il bestiame (mangimi), piante officinali, semi oleosi, patate da semina, tabacco grezzo
1613;46.21.21;Commercio all'ingrosso di tabacco grezzo
1614;46.21.22;Commercio all'ingrosso di sementi e alimenti per il bestiame (mangimi), piante officinali, semi oleosi, patate da semina
1615;46.22;Commercio all'ingrosso di fiori e piante
1616;46.22.0;Commercio all'ingrosso di fiori e piante
1617;46.22.00;Commercio all'ingrosso di fiori e piante
1618;46.23;Commercio all'ingrosso di animali vivi
1619;46.23.0;Commercio all'ingrosso di animali vivi
1620;46.23.00;Commercio all'ingrosso di animali vivi
1621;46.24;Commercio all'ingrosso di pelli e cuoio
1622;46.24.1;Commercio all'ingrosso di cuoio e pelli gregge e lavorate (escluse le pelli per pellicceria)
1623;46.24.10;Commercio all'ingrosso di cuoio e pelli gregge e lavorate (escluse le pelli per pellicceria)
1624;46.24.2;Commercio all'ingrosso di pelli gregge e lavorate per pellicceria
1625;46.24.20;Commercio all'ingrosso di pelli gregge e lavorate per pellicceria
1626;46.3;COMMERCIO ALL'INGROSSO DI PRODOTTI ALIMENTARI, BEVANDE E PRODOTTI DEL TABACCO
1627;46.31;Commercio all'ingrosso di frutta e ortaggi freschi o conservati
1628;46.31.1;Commercio all'ingrosso di frutta e ortaggi freschi
1629;46.31.10;Commercio all'ingrosso di frutta e ortaggi freschi
1630;46.31.2;Commercio all'ingrosso di frutta e ortaggi conservati
1631;46.31.20;Commercio all'ingrosso di frutta e ortaggi conservati
1632;46.32;Commercio all'ingrosso di carne e di prodotti a base di carne
1633;46.32.1;Commercio all'ingrosso di carne fresca, congelata e surgelata
1634;46.32.10;Commercio all'ingrosso di carne fresca, congelata e surgelata
1635;46.32.2;Commercio all'ingrosso di prodotti di salumeria
1636;46.32.20;Commercio all'ingrosso di prodotti di salumeria
1637;46.33;Commercio all'ingrosso di prodotti lattiero-caseari, uova, oli e grassi commestibili
1638;46.33.1;Commercio all'ingrosso di prodotti lattiero-caseari e di uova
1639;46.33.10;Commercio all'ingrosso di prodotti lattiero-caseari e di uova
1640;46.33.2;Commercio all'ingrosso di oli e grassi alimentari di origine vegetale o animale
1641;46.33.20;Commercio all'ingrosso di oli e grassi alimentari di origine vegetale o animale
1642;46.34;Commercio all'ingrosso di bevande
1643;46.34.1;Commercio all'ingrosso di bevande alcoliche
1644;46.34.10;Commercio all'ingrosso di bevande alcoliche
1645;46.34.2;Commercio all'ingrosso di bevande non alcoliche
1646;46.34.20;Commercio all'ingrosso di bevande non alcoliche
1647;46.35;Commercio all'ingrosso di prodotti del tabacco
1648;46.35.0;Commercio all'ingrosso di prodotti del tabacco
1649;46.35.00;Commercio all'ingrosso di prodotti del tabacco
1650;46.36;Commercio all'ingrosso di zucchero, cioccolato, dolciumi e prodotti da forno
1651;46.36.0;Commercio all'ingrosso di zucchero, cioccolato, dolciumi e prodotti da forno
1652;46.36.00;Commercio all'ingrosso di zucchero, cioccolato, dolciumi e prodotti da forno
1653;46.37;Commercio all'ingrosso di caffè, tè, cacao e spezie
1654;46.37.0;Commercio all'ingrosso di caffè, tè, cacao e spezie
1655;46.37.01;Commercio all'ingrosso di caffè
1656;46.37.02;Commercio all'ingrosso di tè, cacao e spezie
1657;46.38;Commercio all'ingrosso di altri prodotti alimentari, inclusi pesci, crostacei e molluschi
1658;46.38.1;Commercio all'ingrosso di prodotti della pesca freschi
1659;46.38.10;Commercio all'ingrosso di prodotti della pesca freschi
1660;46.38.2;Commercio all'ingrosso di prodotti della pesca congelati, surgelati, conservati, secchi
1661;46.38.20;Commercio all'ingrosso di prodotti della pesca congelati, surgelati, conservati, secchi
1662;46.38.3;Commercio all'ingrosso di pasti e piatti pronti
1663;46.38.30;Commercio all'ingrosso di pasti e piatti pronti
1664;46.38.9;Commercio all'ingrosso di altri prodotti alimentari
1665;46.38.90;Commercio all'ingrosso di altri prodotti alimentari
1666;46.39;Commercio all'ingrosso non specializzato di prodotti alimentari, bevande e tabacco
1667;46.39.1;Commercio all'ingrosso non specializzato di prodotti surgelati
1668;46.39.10;Commercio all'ingrosso non specializzato di prodotti surgelati
1669;46.39.2;Commercio all'ingrosso non specializzato di prodotti alimentari, bevande e tabacco
1670;46.39.20;Commercio all'ingrosso non specializzato di prodotti alimentari, bevande e tabacco
1671;46.4;COMMERCIO ALL'INGROSSO DI BENI DI CONSUMO FINALE
1672;46.41;Commercio all'ingrosso di prodotti tessili
1673;46.41.1;Commercio all'ingrosso di tessuti
1674;46.41.10;Commercio all'ingrosso di tessuti
1675;46.41.2;Commercio all'ingrosso di articoli di merceria, filati e passamaneria
1676;46.41.20;Commercio all'ingrosso di articoli di merceria, filati e passamaneria
1677;46.41.9;Commercio all'ingrosso di altri articoli tessili
1678;46.41.90;Commercio all'ingrosso di altri articoli tessili
1679;46.42;Commercio all'ingrosso di abbigliamento e di calzature
1680;46.42.1;Commercio all'ingrosso di abbigliamento e accessori
1681;46.42.10;Commercio all'ingrosso di abbigliamento e accessori
1682;46.42.2;Commercio all'ingrosso di articoli in pelliccia
1683;46.42.20;Commercio all'ingrosso di articoli in pelliccia
1684;46.42.3;Commercio all'ingrosso di camicie, biancheria intima, maglieria e simili
1685;46.42.30;Commercio all'ingrosso di camicie, biancheria intima, maglieria e simili
1686;46.42.4;Commercio all'ingrosso di calzature e accessori
1687;46.42.40;Commercio all'ingrosso di calzature e accessori
1688;46.43;"Commercio all'ingrosso di elettrodomestici, elettronica di consumo audio e video; articoli per fotografia, cinematografia e ottica"
1689;46.43.1;Commercio all'ingrosso di elettrodomestici, di elettronica di consumo audio e video
1690;46.43.10;Commercio all'ingrosso di elettrodomestici, di elettronica di consumo audio e video
1691;46.43.2;Commercio all'ingrosso di supporti registrati, audio, video (Cd, Dvd e altri supporti)
1692;46.43.20;Commercio all'ingrosso di supporti registrati, audio, video (Cd, Dvd e altri supporti)
1693;46.43.3;Commercio all'ingrosso di articoli per fotografia, cinematografia e ottica
1694;46.43.30;Commercio all'ingrosso di articoli per fotografia, cinematografia e ottica
1695;46.44;Commercio all'ingrosso di articoli di porcellana, di vetro e di prodotti per la pulizia
1696;46.44.1;Commercio all'ingrosso di vetreria e cristalleria
1697;46.44.10;Commercio all'ingrosso di vetreria e cristalleria
1698;46.44.2;Commercio all'ingrosso di ceramiche e porcellana
1699;46.44.20;Commercio all'ingrosso di ceramiche e porcellana
1700;46.44.3;Commercio all'ingrosso di saponi, detersivi e altri prodotti per la pulizia
1701;46.44.30;Commercio all'ingrosso di saponi, detersivi e altri prodotti per la pulizia
1702;46.44.4;Commercio all'ingrosso di coltelleria, posateria e pentolame
1703;46.44.40;Commercio all'ingrosso di coltelleria, posateria e pentolame
1704;46.45;Commercio all'ingrosso di profumi e cosmetici
1705;46.45.0;Commercio all'ingrosso di profumi e cosmetici
1706;46.45.00;Commercio all'ingrosso di profumi e cosmetici
1707;46.46;Commercio all'ingrosso di prodotti farmaceutici
1708;46.46.1;Commercio all'ingrosso di medicinali
1709;46.46.10;Commercio all'ingrosso di medicinali
1710;46.46.2;Commercio all'ingrosso di prodotti botanici per uso farmaceutico
1711;46.46.20;Commercio all'ingrosso di prodotti botanici per uso farmaceutico
1712;46.46.3;Commercio all'ingrosso di articoli medicali ed ortopedici
1713;46.46.30;Commercio all'ingrosso di articoli medicali ed ortopedici
1714;46.47;Commercio all'ingrosso di mobili, tappeti e articoli per l'illuminazione
1715;46.47.1;Commercio all'ingrosso di mobili di qualsiasi materiale
1716;46.47.10;Commercio all'ingrosso di mobili di qualsiasi materiale
1717;46.47.2;Commercio all'ingrosso di tappeti
1718;46.47.20;Commercio all'ingrosso di tappeti
1719;46.47.3;"Commercio all'ingrosso di articoli per l'illuminazione; materiale elettrico vario per uso domestico"
1720;46.47.30;"Commercio all'ingrosso di articoli per l'illuminazione; materiale elettrico vario per uso domestico"
1721;46.48;Commercio all'ingrosso di orologi e di gioielleria
1722;46.48.0;Commercio all'ingrosso di orologi e di gioielleria
1723;46.48.00;Commercio all'ingrosso di orologi e di gioielleria
1724;46.49;Commercio all'ingrosso di altri beni di consumo
1725;46.49.1;Commercio all'ingrosso di carta, cartone e articoli di cartoleria
1726;46.49.10;Commercio all'ingrosso di carta, cartone e articoli di cartoleria
1727;46.49.2;Commercio all'ingrosso di libri, riviste e giornali
1728;46.49.20;Commercio all'ingrosso di libri, riviste e giornali
1729;46.49.3;Commercio all'ingrosso di giochi e giocattoli
1730;46.49.30;Commercio all'ingrosso di giochi e giocattoli
1731;46.49.4;Commercio all'ingrosso di articoli sportivi (incluse le biciclette)
1732;46.49.40;Commercio all'ingrosso di articoli sportivi (incluse le biciclette)
1733;46.49.5;"Commercio all'ingrosso di articoli in pelle; articoli da viaggio in qualsiasi materiale"
1734;46.49.50;"Commercio all'ingrosso di articoli in pelle; articoli da viaggio in qualsiasi materiale"
1735;46.49.9;Commercio all'ingrosso di vari prodotti di consumo non alimentare nca
1736;46.49.90;Commercio all'ingrosso di vari prodotti di consumo non alimentare nca
1737;46.5;COMMERCIO ALL'INGROSSO DI APPARECCHIATURE ICT
1738;46.51;Commercio all'ingrosso di computer, apparecchiature informatiche periferiche e di software
1739;46.51.0;Commercio all'ingrosso di computer, apparecchiature informatiche periferiche e di software
1740;46.51.00;Commercio all'ingrosso di computer, apparecchiature informatiche periferiche e di software
1741;46.52;Commercio all'ingrosso di apparecchiature elettroniche per telecomunicazioni e componenti elettronici
1742;46.52.0;Commercio all'ingrosso apparecchiature elettroniche per telecomunicazioni e componenti elettronici
1743;46.52.01;Commercio all'ingrosso di apparecchi e materiali telefonici
1744;46.52.02;Commercio all'ingrosso di nastri non registrati
1745;46.52.09;Commercio all'ingrosso di altre apparecchiature elettroniche per telecomunicazioni e di altri componenti elettronici
1746;46.6;COMMERCIO ALL'INGROSSO DI ALTRI MACCHINARI, ATTREZZATURE E FORNITURE
1747;46.61;Commercio all'ingrosso di macchinari, attrezzature e forniture agricole
1748;46.61.0;Commercio all'ingrosso di macchine, accessori e utensili agricoli, inclusi i trattori
1749;46.61.00;Commercio all'ingrosso di macchine, accessori e utensili agricoli, inclusi i trattori
1750;46.62;Commercio all'ingrosso di macchine utensili
1751;46.62.0;Commercio all'ingrosso di macchine utensili (incluse le relative parti intercambiabili)
1752;46.62.00;Commercio all'ingrosso di macchine utensili (incluse le relative parti intercambiabili)
1753;46.63;Commercio all'ingrosso di macchinari per l'estrazione, l'edilizia e l'ingegneria civile
1754;46.63.0;Commercio all'ingrosso di macchine per le miniere, l'edilizia e l'ingegneria civile
1755;46.63.00;Commercio all'ingrosso di macchine per le miniere, l'edilizia e l'ingegneria civile
1756;46.64;Commercio all'ingrosso di macchinari per l'industria tessile, di macchine per cucire e per maglieria
1757;46.64.0;Commercio all'ingrosso di macchine per l'industria tessile, di macchine per cucire e per maglieria
1758;46.64.00;Commercio all'ingrosso di macchine per l'industria tessile, di macchine per cucire e per maglieria
1759;46.65;Commercio all'ingrosso di mobili per ufficio e negozi
1760;46.65.0;Commercio all'ingrosso di mobili per ufficio e negozi
1761;46.65.00;Commercio all'ingrosso di mobili per ufficio e negozi
1762;46.66;Commercio all'ingrosso di altre macchine e attrezzature per ufficio
1763;46.66.0;Commercio all'ingrosso di altre macchine e attrezzature per ufficio
1764;46.66.00;Commercio all'ingrosso di altre macchine e attrezzature per ufficio
1765;46.69;Commercio all'ingrosso di altri macchinari e attrezzature
1766;46.69.1;Commercio all'ingrosso di mezzi ed attrezzature di trasporto
1767;46.69.11;Commercio all'ingrosso di imbarcazioni da diporto
1768;46.69.19;Commercio all'ingrosso di altri mezzi ed attrezzature di trasporto
1769;46.69.2;Commercio all'ingrosso di materiale elettrico per impianti di uso industriale
1770;46.69.20;Commercio all'ingrosso di materiale elettrico per impianti di uso industriale
1771;46.69.3;Commercio all'ingrosso di apparecchiature per parrucchieri, palestre, solarium e centri estetici
1772;46.69.30;Commercio all'ingrosso di apparecchiature per parrucchieri, palestre, solarium e centri estetici
1773;46.69.9;Commercio all'ingrosso di altre macchine e attrezzature per l'industria, il commercio e la navigazione
1774;46.69.91;Commercio all'ingrosso di strumenti e attrezzature di misurazione per uso scientifico
1775;46.69.92;Commercio all'ingrosso di strumenti e attrezzature di misurazione per uso non scientifico
1776;46.69.93;Commercio all'ingrosso di giochi per luna-park e videogiochi per pubblici esercizi
1777;46.69.94;Commercio all'ingrosso di articoli antincendio e antinfortunistici
1778;46.69.99;Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione nca
1779;46.7;COMMERCIO ALL'INGROSSO SPECIALIZZATO DI ALTRI PRODOTTI
1780;46.71;Commercio all'ingrosso di combustibili solidi, liquidi, gassosi e di prodotti derivati
1781;46.71.0;Commercio all'ingrosso di prodotti petroliferi e lubrificanti per autotrazione, di combustibili per riscaldamento
1782;46.71.00;Commercio all'ingrosso di prodotti petroliferi e lubrificanti per autotrazione, di combustibili per riscaldamento
1783;46.72;Commercio all'ingrosso di metalli e di minerali metalliferi
1784;46.72.1;Commercio all'ingrosso di minerali metalliferi, di metalli ferrosi e prodotti semilavorati
1785;46.72.10;Commercio all'ingrosso di minerali metalliferi, di metalli ferrosi e prodotti semilavorati
1786;46.72.2;Commercio all'ingrosso di metalli non ferrosi e prodotti semilavorati
1787;46.72.20;Commercio all'ingrosso di metalli non ferrosi e prodotti semilavorati
1788;46.73;Commercio all'ingrosso di legname e di materiali da costruzione, apparecchi igienico-sanitari, vetro piano, vernici e colori
1789;46.73.1;Commercio all'ingrosso di legname, semilavorati in legno e legno artificiale
1790;46.73.10;Commercio all'ingrosso di legname, semilavorati in legno e legno artificiale
1791;46.73.2;Commercio all'ingrosso di materiali da costruzione (inclusi gli apparecchi igienico-sanitari)
1792;46.73.21;Commercio all'ingrosso di moquette e linoleum
1793;46.73.22;Commercio all'ingrosso di altri materiali per rivestimenti (inclusi gli apparecchi igienico-sanitari)
1794;46.73.23;Commercio all'ingrosso di infissi e di articoli di arredo urbano
1795;46.73.29;Commercio all'ingrosso di altri materiali da costruzione
1796;46.73.3;Commercio all'ingrosso di vetro piano
1797;46.73.30;Commercio all'ingrosso di vetro piano
1798;46.73.4;Commercio all'ingrosso di carta da parati, colori e vernici
1799;46.73.40;Commercio all'ingrosso di carta da parati, colori e vernici
1800;46.74;Commercio all'ingrosso di ferramenta, di apparecchi e accessori per impianti idraulici e di riscaldamento
1801;46.74.1;Commercio all'ingrosso di articoli in ferro e in altri metalli (ferramenta)
1802;46.74.10;Commercio all'ingrosso di articoli in ferro e in altri metalli (ferramenta)
1803;46.74.2;Commercio all'ingrosso di apparecchi e accessori per impianti idraulici, di riscaldamento e di condizionamento
1804;46.74.20;Commercio all'ingrosso di apparecchi e accessori per impianti idraulici, di riscaldamento e di condizionamento
1805;46.75;Commercio all'ingrosso di prodotti chimici
1806;46.75.0;Commercio all'ingrosso di prodotti chimici
1807;46.75.01;Commercio all'ingrosso di fertilizzanti e di altri prodotti chimici per l'agricoltura
1808;46.75.02;Commercio all'ingrosso di prodotti chimici per l'industria
1809;46.76;Commercio all'ingrosso di altri prodotti intermedi
1810;46.76.1;Commercio all'ingrosso di fibre tessili gregge e semilavorate
1811;46.76.10;Commercio all'ingrosso di fibre tessili gregge e semilavorate
1812;46.76.2;Commercio all'ingrosso di gomma greggia, materie plastiche in forme primarie e semilavorati
1813;46.76.20;Commercio all'ingrosso di gomma greggia, materie plastiche in forme primarie e semilavorati
1814;46.76.3;Commercio all'ingrosso di imballaggi
1815;46.76.30;Commercio all'ingrosso di imballaggi
1816;46.76.9;Commercio all'ingrosso di altri prodotti intermedi
1817;46.76.90;Commercio all'ingrosso di altri prodotti intermedi
1818;46.77;Commercio all'ingrosso di rottami e cascami
1819;46.77.1;Commercio all'ingrosso di rottami e sottoprodotti della lavorazione industriale metallici
1820;46.77.10;Commercio all'ingrosso di rottami e sottoprodotti della lavorazione industriale metallici
1821;46.77.2;Commercio all'ingrosso di altri materiali di recupero non metallici (vetro, carta, cartoni eccetera)
1822;46.77.20;Commercio all'ingrosso di altri materiali di recupero non metallici (vetro, carta, cartoni eccetera)
1823;46.9;COMMERCIO ALL'INGROSSO NON SPECIALIZZATO
1824;46.90;Commercio all'ingrosso non specializzato
1825;46.90.0;Commercio all'ingrosso non specializzato
1826;46.90.00;Commercio all'ingrosso non specializzato
1827;47;COMMERCIO AL DETTAGLIO (ESCLUSO QUELLO DI AUTOVEICOLI E DI MOTOCICLI)
1828;47.1;COMMERCIO AL DETTAGLIO IN ESERCIZI NON SPECIALIZZATI
1829;47.11;Commercio al dettaglio in esercizi non specializzati con prevalenza di prodotti alimentari e bevande
1830;47.11.1;Ipermercati
1831;47.11.10;Ipermercati
1832;47.11.2;Supermercati
1833;47.11.20;Supermercati
1834;47.11.3;Discount di alimentari
1835;47.11.30;Discount di alimentari
1836;47.11.4;Minimercati ed altri esercizi non specializzati di alimentari vari
1837;47.11.40;Minimercati ed altri esercizi non specializzati di alimentari vari
1838;47.11.5;Commercio al dettaglio di prodotti surgelati
1839;47.11.50;Commercio al dettaglio di prodotti surgelati
1840;47.19;Commercio al dettaglio in altri esercizi non specializzati
1841;47.19.1;Grandi magazzini
1842;47.19.10;Grandi magazzini
1843;47.19.2;Commercio al dettaglio in esercizi non specializzati di computer, periferiche, attrezzature per le telecomunicazioni, elettronica di consumo audio e video, elettrodomestici
1844;47.19.20;Commercio al dettaglio in esercizi non specializzati di computer, periferiche, attrezzature per le telecomunicazioni, elettronica di consumo audio e video, elettrodomestici
1845;47.19.9;Empori ed altri negozi non specializzati di vari prodotti non alimentari
1846;47.19.90;Empori ed altri negozi non specializzati di vari prodotti non alimentari
1847;47.2;COMMERCIO AL DETTAGLIO DI PRODOTTI ALIMENTARI, BEVANDE E TABACCO IN ESERCIZI SPECIALIZZATI
1848;47.21;Commercio al dettaglio di frutta e verdura in esercizi specializzati
1849;47.21.0;Commercio al dettaglio di frutta e verdura
1850;47.21.01;Commercio al dettaglio di frutta e verdura fresca
1851;47.21.02;Commercio al dettaglio di frutta e verdura preparata e conservata
1852;47.22;Commercio al dettaglio di carni e di prodotti a base di carne in esercizi specializzati
1853;47.22.0;Commercio al dettaglio di carni e di prodotti a base di carne
1854;47.22.00;Commercio al dettaglio di carni e di prodotti a base di carne
1855;47.23;Commercio al dettaglio di pesci, crostacei e molluschi in esercizi specializzati
1856;47.23.0;Commercio al dettaglio di pesci, crostacei e molluschi
1857;47.23.00;Commercio al dettaglio di pesci, crostacei e molluschi
1858;47.24;Commercio al dettaglio di pane, torte, dolciumi e confetteria in esercizi specializzati
1859;47.24.1;Commercio al dettaglio di pane
1860;47.24.10;Commercio al dettaglio di pane
1861;47.24.2;Commercio al dettaglio di torte, dolciumi, confetteria
1862;47.24.20;Commercio al dettaglio di torte, dolciumi, confetteria
1863;47.25;Commercio al dettaglio di bevande in esercizi specializzati
1864;47.25.0;Commercio al dettaglio di bevande
1865;47.25.00;Commercio al dettaglio di bevande
1866;47.26;Commercio al dettaglio di prodotti del tabacco in esercizi specializzati
1867;47.26.0;Commercio al dettaglio di generi di monopolio (tabaccherie)
1868;47.26.00;Commercio al dettaglio di generi di monopolio (tabaccherie)
1869;47.29;Commercio al dettaglio di altri prodotti alimentari in esercizi specializzati
1870;47.29.1;Commercio al dettaglio di latte e di prodotti lattiero-caseari
1871;47.29.10;Commercio al dettaglio di latte e di prodotti lattiero-caseari
1872;47.29.2;Commercio al dettaglio di caffè torrefatto
1873;47.29.20;Commercio al dettaglio di caffè torrefatto
1874;47.29.3;Commercio al dettaglio di prodotti macrobiotici e dietetici
1875;47.29.30;Commercio al dettaglio di prodotti macrobiotici e dietetici
1876;47.29.9;Commercio al dettaglio di altri prodotti alimentari in esercizi specializzati nca
1877;47.29.90;Commercio al dettaglio di altri prodotti alimentari in esercizi specializzati nca
1878;47.3;COMMERCIO AL DETTAGLIO DI CARBURANTE PER AUTOTRAZIONE IN ESERCIZI SPECIALIZZATI
1879;47.30;Commercio al dettaglio di carburante per autotrazione in esercizi specializzati
1880;47.30.0;Commercio al dettaglio di carburante per autotrazione
1881;47.30.00;Commercio al dettaglio di carburante per autotrazione
1882;47.4;COMMERCIO AL DETTAGLIO DI APPARECCHIATURE INFORMATICHE E PER LE TELECOMUNICAZIONI (ICT) IN ESERCIZI SPECIALIZZATI
1883;47.41;Commercio al dettaglio di computer, unità periferiche, software e attrezzature per ufficio in esercizi specializzati
1884;47.41.0;Commercio al dettaglio di computer, unità periferiche, software e attrezzature per ufficio in esercizi specializzati
1885;47.41.00;Commercio al dettaglio di computer, unità periferiche, software e attrezzature per ufficio in esercizi specializzati
1886;47.42;Commercio al dettaglio di apparecchiature per le telecomunicazioni e la telefonia in esercizi specializzati
1887;47.42.0;Commercio al dettaglio di apparecchiature per le telecomunicazioni e la telefonia in esercizi specializzati
1888;47.42.00;Commercio al dettaglio di apparecchiature per le telecomunicazioni e la telefonia in esercizi specializzati
1889;47.43;Commercio al dettaglio di apparecchiature audio e video in esercizi specializzati
1890;47.43.0;Commercio al dettaglio di apparecchi audio e video in esercizi specializzati
1891;47.43.00;Commercio al dettaglio di apparecchi audio e video in esercizi specializzati
